Key,Value
Htex_b1377,77.42129411273548
H2tex_b1377,60.338482817925176
H2Otex_b1377,
DAPtex_b1377,30.622920821502586
12PPDStex_b1377,56.15470708809547
DDGLCNtex_b1377,43.60725877871473
26DAHtex_b1377,208.9796765750288
HCINNMtex_b1377,29.23978441502935
HPPPNtex_b1377,43.7730853116596
ACtex_b1377,120.50937564844732
ACALDtex_b1377,245.91745729768311
ACMANAtex_b1377,124.81666675705621
ACMUMtex_b1377,126.03135729956483
GALtex_b1377,108.6736350568221
GALCTtex_b1377,129.8046092802086
GALCTNtex_b1377,44.11349416778245
GALTtex_b1377,57.23248097629356
GALURtex_b1377,168.87266693719783
GAMtex_b1377,35.64408478989548
GBBTNtex_b1377,74.19137116417863
HIStex_b1377,33.32340031483872
HXAtex_b1377,51.818018267887105
HYXNtex_b1377,43.75897168156306
IDONtex_b1377,59.64194328461557
ILEtex_b1377,142.1330844390449
INSTtex_b1377,123.26906858338668
Ktex_b1377,148.76886103246125
D_LACtex_b1377,103.19160031519807
FRULYStex_b1377,1136.861447055633
ASPtex_b1377,109.279178373003
INDOLEtex_b1377,13.12530267644175
L_LACtex_b1377,89.49614556852433
GLCRtex_b1377,
GLCNtex_b1377,60.88114225002206
GLCURtex_b1377,142.13835527511534
GLNtex_b1377,75.35358108828846
O2tex_b1377,45.23197594197117
OCTAtex_b1377,36.74998351721576
ORNtex_b1377,142.7400237706853
RMNtex_b1377,285.24200233450125
PHEtex_b1377,51.769460001147706
PItex_b1377,122.35921162313919
PNTOtex_b1377,19.674392250840647
PPPNtex_b1377,69.36025173952098
PPTtex_b1377,
PTRCtex_b1377,75.90000090681731
PYRtex_b1377,283.63032605631656
DSERtex_b1377,56.73655473337027
SERtex_b1377,59.146470989431236
SO4tex_b1377,72.42028852910332
SPMDtex_b1377,235.13117710166634
SUCCtex_b1377,109.47432942714622
SUCRtex_b1377,289.5082780889407
TARTRtex_b1377,92.61086831628083
TAURtex_b1377,684.3592037300315
THRtex_b1377,68.91825960975065
THMDtex_b1377,48.700001039388205
METDtex_b1377,186.24025970441406
METtex_b1377,205.0246727332243
MNLtex_b1377,59.06538823537326
NAtex_b1377,104.5396897255557
NACtex_b1377,24.098987471347986
NH4tex_b1377,104.95063142262914
BUTtex_b1377,
CHLtex_b1377,48.065623055250306
CO2tex_b1377,108.42781357031205
CRNtex_b1377,147.0791218111451
DINStex_b1377,49.41069069555518
DMStex_b1377,117.42231123072673
CSNtex_b1377,22.45393886750133
CYNTtex_b1377,54.05119523999224
CYStex_b1377,60.46758157002924
CYTDtex_b1377,31.696098716852866
DCAtex_b1377,
DGSNtex_b1377,32.60290407513336
LCTStex_b1377,
LEUtex_b1377,122.37010014072821
LYStex_b1377,155.9033453578799
LYXtex_b1377,322.76178995885783
MANtex_b1377,254.170677023362
MAN6Ptex_b1377,181.2106401564395
MELIBtex_b1377,
DMSOtex_b1377,47.081003918174204
FRUtex_b1377,125.60629022355405
FUCtex_b1377,
FUMtex_b1377,97.99170758481655
FE2tex_b1377,124.65308126684995
NMNtex_b1377,155.63934495769587
NO2tex_b1377,95.31260886213146
GDPtex_b1377,17.681479857577436
TMAtex_b1377,132.57309931733914
TMAOtex_b1377,150.692063808964
TREtex_b1377,84.77025513472961
TRPtex_b1377,23.807654486363685
TSULtex_b1377,135.2735203231806
TYRtex_b1377,42.07127894018284
URAtex_b1377,35.88618040889796
UREAtex_b1377,132.91847183904662
VALtex_b1377,80.16563310702706
XANtex_b1377,75.3761534083983
XYLtex_b1377,157.68362987125906
ABUTtex_b1377,76.17750088005343
23CAMPtex_b1377,56.88479847749529
23CCMPtex_b1377,22.61231124632705
23CUMPtex_b1377,51.870886452609426
23CGMPtex_b1377,25.458924382245986
3AMPtex_b1377,410.47893493414676
3CMPtex_b1377,77.82121066587723
ETHSO3tex_b1377,113.79229445352179
BUTSO3tex_b1377,158.77929211565862
LIPOtex_b1377,63.84647069422793
GALBDtex_b1377,118.99826356492763
SULFACtex_b1377,161.82198166782564
NOtex_b1377,
N2Otex_b1377,169.19847250604442
PEAMNtex_b1377,50.99465734921587
PACALDtex_b1377,101.25199716047402
CYANtex_b1377,110.97752793375102
SO3tex_b1377,32.1729793904921
TCYNTtex_b1377,17.777274398463838
METSOX1tex_b1377,
METSOX2tex_b1377,109.78734569465296
3UMPtex_b1377,102.91351434302237
3GMPtex_b1377,125.80614830456328
DOPAtex_b1377,99.29147699685409
4HOXPACDtex_b1377,135.90080078826108
ETHAtex_b1377,57.53044128814434
G3PStex_b1377,55.51239590752784
